WebViewLink	x	y
https://drive.google.com/file/d/1CcS0SF5j-XYo2_YKAQ-UgbQ-EK450kP6/view?usp=drivesdk	740	443
https://drive.google.com/file/d/1tS8OmRz3YTlfK6uiuwOCNkGw-fFjdbD4/view?usp=drivesdk	575	244
https://drive.google.com/file/d/1mtBrxijW-dc-gDzNv60nOy5_hfy5Y41s/view?usp=drivesdk	942	172
https://drive.google.com/file/d/1IEoiw8AmEBV3kOQEAa3_r2-8MPraPTtw/view?usp=drivesdk	805	313
https://drive.google.com/file/d/1X122Gdy1MzSx8EYBvQ-nleHd6qqY9teG/view?usp=drivesdk	834	269
https://drive.google.com/file/d/1kF08ox7x5TCr38pD-iW0ZkRN4UXQS2ED/view?usp=drivesdk	894	277
https://drive.google.com/file/d/1pBuQrJV2HgSu17Gh77QfMjta4_Z8Leyg/view?usp=drivesdk	659	331
https://drive.google.com/file/d/1CjzjbhWe2KPMp3K1E0zx5fZuylaTNTUv/view?usp=drivesdk	261	623
https://drive.google.com/file/d/1G46LXRvmKNWV7p8pO-RlNWKdAKow9GOJ/view?usp=drivesdk	790	378
https://drive.google.com/file/d/1e8DY8VUQZNNsr86WhFjzw6OLKaU4N_Gn/view?usp=drivesdk	961	340
https://drive.google.com/file/d/1NL-CF8Y0Ts22Pt-zcnwX-WDWj-h1MFUL/view?usp=drivesdk	930	330
https://drive.google.com/file/d/1DsCxbNktZpU9KM0FQkuGQNb323bSvmGt/view?usp=drivesdk	998	563
https://drive.google.com/file/d/16ZO8lnf2Id2Qold9MfR-EFvwO3VK53bU/view?usp=drivesdk	998	541
https://drive.google.com/file/d/1DQygwzIkKvqUpOHiKjX6XCrsVe18oEA1/view?usp=drivesdk	974	446
https://drive.google.com/file/d/1caDevFn5TV3vssdisdnwf2Nan1-BHTUm/view?usp=drivesdk	945	447
https://drive.google.com/file/d/139HuGbfhyyC3urFLutzERkBJ9PC-Mo_O/view?usp=drivesdk	457	619
https://drive.google.com/file/d/1po--WXOEQUq_XEUSZPZOqd4_5kgZvuHm/view?usp=drivesdk	331	606
https://drive.google.com/file/d/1iYIFq5FJLs9_koCb5Y1uyQypOAc5VRNq/view?usp=drivesdk	1016	414
https://drive.google.com/file/d/1u1JIrbjihp7DhbPtWqQl1exrITpa88Sh/view?usp=drivesdk	572	144
https://drive.google.com/file/d/1Chbsu1Piz2W_e5oZL17PGtS25jSgfvXK/view?usp=drivesdk	431	153
https://drive.google.com/file/d/17q-3hb_97tRvnhYbl6j4DbldCzbGMX4X/view?usp=drivesdk	479	111
https://drive.google.com/file/d/1WCdZb4m1Qm4YLigYfb2ulun-BTcYuy8N/view?usp=drivesdk	965	382
https://drive.google.com/file/d/15_EgX3WxhOZrCbknRdsxOmcT760jAbqc/view?usp=drivesdk	944	382
https://www.youtube.com/watch?v=IdJ04Ewkm9g&list=RDIdJ04Ewkm9g&start_radio=1	197	202
https://www.youtube.com/watch?v=qrDEq5J-O9Q&list=RDqrDEq5J-O9Q&start_radio=1	116	616
https://www.youtube.com/watch?v=1rX5kkfZHp0&list=RD1rX5kkfZHp0&start_radio=1	150	616
https://www.youtube.com/watch?v=rC95MEenIxA&list=RDrC95MEenIxA&start_radio=1	130	518
https://www.youtube.com/watch?v=lm19bnLuLVA&list=RDlm19bnLuLVA&start_radio=1	203	341
https://www.youtube.com/watch?v=pPeQtJQWySU&list=RDpPeQtJQWySU&start_radio=1	203	323
https://www.youtube.com/watch?v=yCnersCIQBw&list=RDyCnersCIQBw&start_radio=1	243	340
https://www.youtube.com/watch?v=2JuFvyLVf-k&list=RD2JuFvyLVf-k&start_radio=1	199	521
https://diadima.com	48	268
https://diadima.com	99	269
https://diadima.com	162	271
https://www.youtube.com/watch?v=yr4U0Kde-3E&list=RDyr4U0Kde-3E&start_radio=1	56	423
https://www.youtube.com/watch?v=EfqumWBiYuA&list=RDEfqumWBiYuA&start_radio=1	197	202
https://drive.google.com/file/d/1qAqWpdOOmJE8iCK-u5qqqmx78D4gXRyZ/view?usp=drive_link	527	328
https://lmp-analytics.com	236	121
https://lmp-analytics.com	98	87
https://drive.google.com/file/d/1PoqvXS3-5hCNyReya35o0drXTB6loolb/view?usp=drive_link	622	33
https://drive.google.com/file/d/1BTID2FPbktxm0ggKlTYH_DBseiNsi4dO/view?usp=sharing	759	487
https://www.youtube.com/watch?v=PuuCezrAUKk	743	485
